"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_A549","C13","Untreated",7.0612244897959187,12.204081632653061,70.0,402.0,91.0,131.0,7.0,701.0,9.985734664764621,57.346647646219687,12.981455064194009,18.687589158345222,0.99857346647646217
"Nuclei_A549","C14","Untreated",7.0612244897959187,11.836734693877551,92.0,505.0,110.0,132.0,25.0,864.0,10.648148148148149,58.449074074074069,12.731481481481483,15.277777777777779,2.8935185185185186
"Nuclei_A549","C15","Untreated",7.0612244897959187,12.755102040816327,105.0,594.0,133.0,140.0,14.0,986.0,10.649087221095336,60.243407707910748,13.488843813387424,14.198782961460447,1.4198782961460445
"Nuclei_A549","C16","Untreated",7.0612244897959187,11.469387755102041,67.0,495.0,118.0,142.0,28.0,850.0,7.882352941176471,58.235294117647065,13.882352941176471,16.705882352941178,3.2941176470588238
"Nuclei_A549","C17","Untreated",7.0612244897959187,11.836734693877551,43.0,309.0,78.0,67.0,7.0,504.0,8.5317460317460316,61.30952380952381,15.476190476190476,13.293650793650794,1.3888888888888888
"Nuclei_A549","C18","Untreated",7.0612244897959187,11.285714285714286,73.0,419.0,109.0,107.0,41.0,749.0,9.7463284379172226,55.941255006675576,14.552736982643525,14.285714285714285,5.4739652870493991
"Nuclei_A549","C19","Untreated",7.0612244897959187,13.122448979591837,50.0,424.0,94.0,80.0,14.0,662.0,7.5528700906344408,64.048338368580062,14.19939577039275,12.084592145015106,2.1148036253776437
"Nuclei_A549","C20","Untreated",7.2448979591836737,12.938775510204083,90.0,480.0,139.0,124.0,21.0,854.0,10.53864168618267,56.206088992974237,16.276346604215455,14.519906323185012,2.459016393442623
"Nuclei_A549","C21","Untreated",7.0612244897959187,10.73469387755102,92.0,528.0,121.0,116.0,75.0,932.0,9.8712446351931327,56.652360515021464,12.98283261802575,12.446351931330472,8.0472103004291853
"Nuclei_A549","C22","Untreated",7.0612244897959187,12.755102040816327,83.0,494.0,85.0,81.0,9.0,752.0,11.037234042553191,65.691489361702125,11.303191489361703,10.771276595744681,1.196808510638298
"Nuclei_A549","C23","Untreated",6.8775510204081636,12.755102040816327,88.0,545.0,92.0,137.0,11.0,873.0,10.080183276059564,62.42840778923253,10.538373424971363,15.693012600229094,1.2600229095074456
"Nuclei_A549","C24","Untreated",7.0612244897959187,12.755102040816327,94.0,314.0,32.0,63.0,7.0,510.0,18.43137254901961,61.568627450980394,6.2745098039215685,12.352941176470589,1.3725490196078431
"Nuclei_A549","D13","DMSO-Pac",6.8775510204081636,12.387755102040817,104.0,468.0,127.0,103.0,17.0,819.0,12.698412698412698,57.142857142857139,15.506715506715507,12.576312576312576,2.0757020757020754
"Nuclei_A549","D14","DMSO-Pac",6.8775510204081636,12.204081632653061,116.0,658.0,144.0,186.0,20.0,1124.0,10.320284697508896,58.540925266903912,12.811387900355871,16.548042704626333,1.7793594306049825
"Nuclei_A549","D15","DMSO-Pac",6.6938775510204085,12.020408163265307,112.0,642.0,166.0,168.0,6.0,1094.0,10.237659963436929,58.68372943327239,15.173674588665447,15.356489945155394,0.54844606946983543
"Nuclei_A549","D16","Paclitaxel 1.6 nM",4.3061224489795915,9.6326530612244898,126.0,269.0,216.0,129.0,68.0,808.0,15.594059405940595,33.292079207920793,26.732673267326735,15.965346534653465,8.4158415841584162
"Nuclei_A549","D17","Paclitaxel 1.6 nM",3.2040816326530615,6.3265306122448983,88.0,141.0,168.0,195.0,173.0,765.0,11.503267973856209,18.43137254901961,21.96078431372549,25.490196078431371,22.614379084967322
"Nuclei_A549","D18","Paclitaxel 1.6 nM",3.3877551020408165,9.4489795918367356,30.0,207.0,227.0,96.0,67.0,627.0,4.7846889952153111,33.014354066985646,36.204146730462519,15.311004784688995,10.685805422647528
"Nuclei_A549","D19","Paclitaxel 5 nM",2.6530612244897958,6.3265306122448983,45.0,117.0,121.0,126.0,181.0,590.0,7.6271186440677967,19.830508474576273,20.508474576271183,21.35593220338983,30.677966101694913
"Nuclei_A549","D20","Paclitaxel 5 nM",3.2040816326530615,6.8775510204081636,62.0,134.0,82.0,105.0,107.0,490.0,12.653061224489795,27.346938775510203,16.73469387755102,21.428571428571427,21.836734693877553
"Nuclei_A549","D21","Paclitaxel 5 nM",3.3877551020408165,6.5102040816326534,115.0,131.0,119.0,148.0,217.0,730.0,15.753424657534246,17.945205479452056,16.301369863013697,20.273972602739725,29.726027397260275
"Nuclei_A549","D22","Paclitaxel 15 nM",3.0204081632653064,6.5102040816326534,30.0,47.0,30.0,42.0,92.0,241.0,12.448132780082988,19.502074688796682,12.448132780082988,17.427385892116181,38.174273858921161
"Nuclei_A549","D23","Paclitaxel 15 nM",6.8775510204081636,12.571428571428571,71.0,52.0,22.0,43.0,1.0,189.0,37.566137566137563,27.513227513227513,11.640211640211639,22.75132275132275,0.52910052910052907
"Nuclei_A549","D24","Paclitaxel 15 nM",6.3265306122448983,11.285714285714286,67.0,53.0,29.0,54.0,13.0,216.0,31.018518518518519,24.537037037037038,13.425925925925927,25.0,6.0185185185185182
"Nuclei_A549","E13","DMSO-Noc",6.6938775510204085,11.469387755102041,66.0,398.0,115.0,131.0,31.0,741.0,8.9068825910931171,53.711201079622128,15.519568151147098,17.678812415654519,4.1835357624831309
"Nuclei_A549","E14","DMSO-Noc",7.0612244897959187,12.020408163265307,75.0,471.0,113.0,113.0,14.0,786.0,9.5419847328244281,59.92366412213741,14.376590330788805,14.376590330788805,1.7811704834605597
"Nuclei_A549","E15","DMSO-Noc",6.8775510204081636,12.204081632653061,98.0,532.0,140.0,138.0,14.0,922.0,10.629067245119305,57.700650759219087,15.184381778741866,14.967462039045554,1.5184381778741864
"Nuclei_A549","E16","Nocodazole 0.16 uM",6.6938775510204085,12.204081632653061,21.0,31.0,10.0,49.0,14.0,125.0,16.800000000000001,24.800000000000001,8.0,39.200000000000003,11.200000000000001
"Nuclei_A549","E17","Nocodazole 0.16 uM",6.5102040816326534,11.836734693877551,29.0,25.0,7.0,43.0,5.0,109.0,26.605504587155966,22.935779816513762,6.4220183486238538,39.449541284403672,4.5871559633027523
"Nuclei_A549","E18","Nocodazole 0.16 uM",6.6938775510204085,11.285714285714286,24.0,24.0,12.0,55.0,4.0,119.0,20.168067226890756,20.168067226890756,10.084033613445378,46.218487394957982,3.3613445378151261
"Nuclei_A549","E19","Nocodazole 0.5 uM",6.6938775510204085,10.183673469387756,25.0,16.0,10.0,21.0,24.0,96.0,26.041666666666668,16.666666666666664,10.416666666666668,21.875,25.0
"Nuclei_A549","E20","Nocodazole 0.5 uM",6.8775510204081636,12.204081632653061,26.0,23.0,9.0,49.0,5.0,112.0,23.214285714285715,20.535714285714285,8.0357142857142865,43.75,4.4642857142857144
"Nuclei_A549","E21","Nocodazole 0.5 uM",6.3265306122448983,12.020408163265307,26.0,37.0,19.0,44.0,3.0,129.0,20.155038759689923,28.68217054263566,14.728682170542637,34.108527131782942,2.3255813953488373
"Nuclei_A549","E22","Nocodazole 1.5 uM",3.7551020408163267,11.836734693877551,7.0,17.0,17.0,31.0,1.0,73.0,9.5890410958904102,23.287671232876711,23.287671232876711,42.465753424657535,1.3698630136986301
"Nuclei_A549","E23","Nocodazole 1.5 uM",6.5102040816326534,12.020408163265307,24.0,36.0,15.0,33.0,6.0,114.0,21.052631578947366,31.578947368421051,13.157894736842104,28.947368421052634,5.2631578947368416
"Nuclei_A549","E24","Nocodazole 1.5 uM",6.8775510204081636,12.204081632653061,109.0,50.0,18.0,43.0,5.0,225.0,48.444444444444443,22.222222222222221,8.0,19.111111111111111,2.2222222222222223
"Nuclei_A549","F13","DMSO-Aph",7.0612244897959187,12.387755102040817,78.0,895.0,214.0,208.0,13.0,1408.0,5.5397727272727275,63.565340909090907,15.198863636363635,14.772727272727273,0.92329545454545459
"Nuclei_A549","F14","DMSO-Aph",6.8775510204081636,12.387755102040817,108.0,815.0,176.0,147.0,10.0,1256.0,8.598726114649681,64.888535031847141,14.012738853503185,11.703821656050955,0.79617834394904463
"Nuclei_A549","F15","DMSO-Aph",6.8775510204081636,12.020408163265307,148.0,823.0,196.0,244.0,33.0,1444.0,10.249307479224377,56.99445983379502,13.573407202216067,16.897506925207757,2.2853185595567869
"Nuclei_A549","F16","Aphidicolin 0.16 uM",7.0612244897959187,11.102040816326531,78.0,275.0,150.0,155.0,80.0,738.0,10.569105691056912,37.262872628726285,20.325203252032519,21.002710027100271,10.840108401084011
"Nuclei_A549","F17","Aphidicolin 0.16 uM",7.0612244897959187,12.387755102040817,78.0,279.0,196.0,206.0,6.0,765.0,10.196078431372548,36.470588235294116,25.620915032679736,26.928104575163399,0.78431372549019607
"Nuclei_A549","F18","Aphidicolin 0.16 uM",7.0612244897959187,10.0,83.0,248.0,132.0,164.0,202.0,829.0,10.012062726176115,29.915560916767191,15.922798552472859,19.782870928829915,24.36670687575392
"Nuclei_A549","F19","Aphidicolin 0.5 uM",7.6122448979591839,12.020408163265307,104.0,208.0,152.0,110.0,21.0,595.0,17.478991596638654,34.957983193277308,25.546218487394956,18.487394957983195,3.5294117647058822
"Nuclei_A549","F20","Aphidicolin 0.5 uM",7.4285714285714288,12.387755102040817,93.0,262.0,208.0,116.0,9.0,688.0,13.517441860465116,38.081395348837212,30.232558139534881,16.86046511627907,1.308139534883721
"Nuclei_A549","F21","Aphidicolin 0.5 uM",6.8775510204081636,12.387755102040817,90.0,256.0,311.0,153.0,10.0,820.0,10.975609756097562,31.219512195121951,37.926829268292686,18.658536585365855,1.2195121951219512
"Nuclei_A549","F22","Aphidicolin 1.5 uM",7.6122448979591839,11.469387755102041,135.0,445.0,195.0,71.0,31.0,877.0,15.393386545039908,50.741163055872299,22.234891676168758,8.0957810718358036,3.534777651083238
"Nuclei_A549","F23","Aphidicolin 1.5 uM",7.4285714285714288,13.306122448979593,65.0,292.0,77.0,46.0,6.0,486.0,13.374485596707819,60.082304526748977,15.843621399176955,9.4650205761316872,1.2345679012345678
"Nuclei_A549","F24","Aphidicolin 1.5 uM",7.4285714285714288,11.469387755102041,83.0,235.0,90.0,31.0,27.0,466.0,17.811158798283262,50.429184549356222,19.313304721030043,6.6523605150214591,5.7939914163090123
"Nuclei_A549","G13","NaCl-CisPt",6.8775510204081636,10.73469387755102,83.0,455.0,135.0,119.0,56.0,848.0,9.7877358490566042,53.655660377358494,15.919811320754718,14.033018867924529,6.6037735849056602
"Nuclei_A549","G14","NaCl-CisPt",6.6938775510204085,11.836734693877551,74.0,603.0,139.0,188.0,15.0,1019.0,7.2620215897939158,59.175662414131502,13.640824337585869,18.449460255152108,1.4720314033366046
"Nuclei_A549","G15","NaCl-CisPt",6.8775510204081636,12.020408163265307,97.0,556.0,123.0,129.0,5.0,910.0,10.659340659340659,61.098901098901102,13.516483516483516,14.175824175824175,0.5494505494505495
"Nuclei_A549","G16","Cisplatin 1.6 uM",6.8775510204081636,12.204081632653061,37.0,383.0,175.0,206.0,6.0,807.0,4.5848822800495661,47.459727385377946,21.685254027261465,25.526641883519208,0.74349442379182151
"Nuclei_A549","G17","Cisplatin 1.6 uM",7.0612244897959187,12.387755102040817,32.0,320.0,125.0,152.0,10.0,639.0,5.0078247261345856,50.078247261345851,19.561815336463223,23.787167449139279,1.5649452269170578
"Nuclei_A549","G18","Cisplatin 1.6 uM",6.6938775510204085,12.387755102040817,51.0,337.0,161.0,161.0,6.0,716.0,7.1229050279329602,47.067039106145252,22.486033519553072,22.486033519553072,0.83798882681564246
"Nuclei_A549","G19","Cisplatin 5 uM",7.0612244897959187,10.551020408163266,34.0,139.0,105.0,146.0,101.0,525.0,6.4761904761904754,26.476190476190474,20.0,27.80952380952381,19.238095238095237
"Nuclei_A549","G20","Cisplatin 5 uM",7.0612244897959187,12.020408163265307,34.0,233.0,179.0,188.0,23.0,657.0,5.1750380517503807,35.464231354642308,27.24505327245053,28.61491628614916,3.5007610350076099
"Nuclei_A549","G21","Cisplatin 5 uM",7.0612244897959187,11.285714285714286,44.0,158.0,124.0,132.0,31.0,489.0,8.997955010224949,32.310838445807768,25.357873210633947,26.993865030674847,6.3394683026584868
"Nuclei_A549","G22","Cisplatin 15 uM",6.6938775510204085,12.020408163265307,19.0,140.0,183.0,98.0,6.0,446.0,4.2600896860986541,31.390134529147986,41.031390134529147,21.973094170403588,1.3452914798206279
"Nuclei_A549","G23","Cisplatin 15 uM",6.8775510204081636,12.387755102040817,17.0,95.0,117.0,48.0,6.0,283.0,6.0070671378091873,33.568904593639573,41.342756183745585,16.96113074204947,2.1201413427561837
"Nuclei_A549","G24","Cisplatin 15 uM",6.6938775510204085,10.73469387755102,20.0,67.0,72.0,43.0,8.0,210.0,9.5238095238095237,31.904761904761902,34.285714285714285,20.476190476190474,3.8095238095238098
"Nuclei_A549","H13","Untreated",6.6938775510204085,12.755102040816327,63.0,708.0,159.0,145.0,7.0,1082.0,5.8225508317929764,65.434380776340106,14.695009242144177,13.401109057301294,0.64695009242144186
"Nuclei_A549","H14","Untreated",6.8775510204081636,12.020408163265307,91.0,651.0,131.0,195.0,13.0,1081.0,8.4181313598519889,60.222016651248843,12.118408880666049,18.038852913968547,1.2025901942645698
"Nuclei_A549","H15","Untreated",6.8775510204081636,12.387755102040817,87.0,808.0,191.0,182.0,12.0,1280.0,6.7968749999999991,63.125,14.921875000000002,14.21875,0.9375
"Nuclei_A549","H16","Untreated",6.8775510204081636,11.836734693877551,91.0,698.0,166.0,159.0,13.0,1127.0,8.0745341614906838,61.934338952972489,14.729370008873113,14.108251996450754,1.1535048802129548
"Nuclei_A549","H17","Untreated",6.5102040816326534,11.469387755102041,76.0,509.0,167.0,162.0,15.0,929.0,8.1808396124865439,54.790096878363833,17.976318622174382,17.43810548977395,1.6146393972012916
"Nuclei_A549","H18","Untreated",6.8775510204081636,11.836734693877551,47.0,523.0,134.0,120.0,11.0,835.0,5.6287425149700603,62.634730538922156,16.047904191616766,14.37125748502994,1.3173652694610778
"Nuclei_A549","H19","Untreated",6.8775510204081636,12.571428571428571,100.0,674.0,193.0,158.0,12.0,1137.0,8.7950747581354438,59.278803869832899,16.974494283201409,13.896218117854001,1.0554089709762533
"Nuclei_A549","H20","Untreated",6.8775510204081636,12.204081632653061,79.0,630.0,167.0,155.0,9.0,1040.0,7.5961538461538458,60.576923076923073,16.05769230769231,14.903846153846153,0.86538461538461542
"Nuclei_A549","H21","Untreated",6.6938775510204085,12.571428571428571,72.0,607.0,155.0,142.0,8.0,984.0,7.3170731707317067,61.686991869918693,15.752032520325205,14.43089430894309,0.81300813008130091
"Nuclei_A549","H22","Untreated",6.6938775510204085,10.36734693877551,66.0,506.0,145.0,138.0,82.0,937.0,7.043756670224119,54.002134471718257,15.474919957310565,14.727854855923159,8.7513340448239063
"Nuclei_A549","H23","Untreated",6.6938775510204085,12.020408163265307,77.0,504.0,117.0,124.0,16.0,838.0,9.1885441527446314,60.143198090692131,13.961813842482101,14.797136038186157,1.9093078758949882
"Nuclei_A549","H24","Untreated",6.6938775510204085,11.102040816326531,57.0,283.0,72.0,97.0,17.0,526.0,10.836501901140684,53.802281368821291,13.688212927756654,18.441064638783271,3.2319391634980987
